Gear,Price,Enc.,Rare.,Features
AG/L Mk.III Targeting Goggles,"1,000",1,5,Enhances enemy vehicle size for hitting
Agent's Bag,200,2,7,Securely contains gear and attachments
Communications Media Manipulator,400,6,6,Allows printing of posters and enhancement of holoprojections
Concealed Escape Kit,450,0,7,Includes a number of small tools for use in escapes
Consolidated Learning Systems Transliterator,"1,200",1,3,Allows for translation of different languages to basic
"CorChemCo ""Quickflash"" Burning Gel",150,1,5,Burns through virtually any material
Credit Cleaner,"2,500 (Restricted)",12,7,Makes credits untraceable
Data Breaker,"1,000 (Restricted)",1,6,Allows to slice into computer systems
Excavator's Precision Tool Kit,500,5,7,Designed for archeological digs
Explosive Ordnance Disposal (EOD) Kit,400,4,5,Assists in identifying and neutralizing explosives
Explosives Belt,450 (Restricted),1,7,Conceals explosives for stealthy charge setting
Fingerprint Masque,"1,000 (Restricted)",0,7,Mimics fingerprints for scanners
Flesh Camouflage Set,"2,500 (Restricted)",2,7,Disguises both physically and biologically
Forgery Tools,650 (Restricted),2,8,Enables the creation of a forged document
Garrote Chrono,100 (Restricted),0,5,Conceals a garrote in a chrono
Holographic Disguise Matrix,"10,000 (Restricted)",1,9,Projects a holographic disguise based off a prior recorded person
Holographic Image Disguiser,"1,100",2,6,Projects a holographic disguise
Lightsaber Maintenance Kit,700 (Restricted),2,9,"Equivalent to a tool kit, specialised for lightsabers"
"MDD-12 ""Mercantiler"" Datapad",250,1,3,Provides additional info for trades in a specific region
Microaxial Starmapper Handheld Navicomputer,"3,500",1,8,Handheld navigation assist for use in known space
MicroData P-2 Pocket Attache,800,1,6,Datapad which is harder to slice
Military Modular Backpack (frame),10,-,2,"Frame for installing 2 options, from number of different modules"
Military Modular Backpack (temperature control unit),500,2,3,Reduces effect of environmental temperature
Military Modular Backpack (power unit),250,3,3,Portable generator which recharges equipment
Military Modular Backpack (comms unit),500,2,4,Communications relay and encryption at long ranges
Military Modular Backpack (sensor unit),"3,000",2,3,Passive detection of movement and lifesigns
Military Modular Backpack (oxygen unit),300,3,3,Provides 12 hours of oxygen
Military Modular Backpack (storage unit),25,-,2,Increases carrying capacity
Mon Calamari Organic Gill,200,1,5,Allows breathing underwater
Nano-Droids,"50,000 (Restricted)",-,9,"Near invisible, can detonate like a thermal detonator"
Pioneer Squad Tool Kit,"4,000",25,5,Contains 6 individuals worth of building tools
Poisoner's Ring,500 (Restricted),0,7,Contains single dose for concealed use
Saline Pump,"2,500",1,7,Improves a clawdite's shapeshifting ability
Sleight Box,400 (Restricted),2-20,6,Can hide items within box
Specimen Container (tiny),10,0,1,Sealed & resistant container with life-support
Specimen Container (small),25,1,2,Sealed & resistant container with life-support
Specimen Container (medium),50,3,2,Sealed & resistant container with life-support
Specimen Container (large),150,5,3,Sealed & resistant container with life-support
Synoptic Teacher,"8,500",1,4,Rapidly teaches one to become an expert in a skill temporarily
TranLang Holo V A/V Translator,750,1,3,Improves ability to understand an unknown language
Verpine Bond Gauntlets,250,1,6,Increases stability of hands and arms
Verpine Headband,500,1,6,Suffer wounds instead of falling unconscious from excess strain
