Modification,Price,Rarity,HP Req.,Other Req.,Features
Amplifying Chamber,350,4,1,-,Makes shot explosive
Augmented Spin Barrel,"1,750",4,2,Rifles & Heavy Rifles,Increases damage
Beam Splitter,"1,250 (R)",5,3,Doesn't have blast,Makes shot scatter
Blaster Actuating Module,500,4,1,Pistol,Increases damage
Blaster Energy Dampener,750 (R),4,1,Non-Gunnery,Reduces weapon sound
Blaster Suppressor,750 (R),5,1,Pistol,Reduces weapon sound
Clone Firing Key,250,7,1,-,Functions only in clone hands
Enhanced XCiter,"1,500 (R)",6,2,-,Improves critical rating
Galven Pattern Resequencing,"1,000",5,2,Pistol or Heavy Pistol,Increases damage
Hunting Barrel,"1,200 (R)",4,3,Rifles,Increases range
Insulated Firing Mechanism,"1,000",7,1,-,Weapon is more resilient
Ionizing Focusing Coils,800,5,2,-,Increases damage against droids
Mandalorian Chamber,250,5,1,-,Increases stunning effects
Marksman Barrel,"1,200",4,2,Rifles,Increases range
Overcharged Actuating Module,650,7,1,Pistols or Carbines,Increases damage
Rapid-Recharge XCiter,750,7,1,-,Significantly increases rate of fire
Shortened Barrel,250,4,1,Pistol,Makes weapon easier to conceal
Spread Barrel,"1,725",4,2,Rifles or Carbines,Scatters the weapon shot
Tibanna-Jacked,150,6,1,-,Improves critical rating
XCiter Overcharge,"1,100 (R)",7,2,-,Significantly increases damage for a single shot
