Model,Crew Complement,Price,Rarity,No of Weapon Batteries,Special Features
Acclamator-class Planetary Assault Ship,700,"110,000,000",8,40x,Large Vehicle Complement
Assault Frigate Mark II,"4,820","12,250,000",6,40x,High Defense
Dreadnought-Class Heavy Cruiser,"9,000 - 16,000","7,200,000",6,40x,-
Firestar II-Class Orbital Defense Station,300,"8,500,000",8,72x,Supply and repair Function
Gladiator-class Star Destroyer,"1,255","34,000,000",7,32x,Starfighters
Haven-class Mobile Space Dock,"4,500","38,000,000",9,72x,can fit frigates and smaller in dock
Indulgent-class Luxury Starliner,850,"25,500,000",7,4x,Heavy Ion Cannons
Interdictor-class Heavy Cruiser,"2,807","15,400,000",8,20x,Gravity Well Projectors
Keldabe-class Battleship,"6,000","200,000,000",8,42x,Shield Absorbers
"Munificent-class Command, Control, and Communications Frigate","1,100","12,300,000",9,68x,Command Suite
Munificent-class Heavy Frigate,200,"12,000,000",7,102x,Heavy Ion Cannons
Rendili StarDrive Neutron Star-class Bulk Cruiser,"2,200","2,800,000",4,49x,-
Ton-Falk-Class Escort Carrier,"4,000","3,500,000",7,11x,Starfighters
Vindicator-Class Heavy Cruiser,"2,551","10,400,000",8,55x,Starfighters
