Model,Silhouette,Speed,HP,Price,Rarity,# of Weapons,Hyperdrive?
Auzituck-class Gunship,4,3,3,"95,000",7,2x Twins,Yes
Firespray System Patrol Craft,4,4,4,"80,000",4,1x,Yes
GAT-12H Skipray Blastboat,4,4,2,"150,000",6,4x (twins & tri),Yes
"H-22A ""D-Wing"" Heavy Attack Boat",4,3,1,"145,000",6,4x (twins & quad),Yes
Imperial Customs Frigate,4,3,2,"(Restricted) 140,000",6,6x Twins,Yes
Incom A-36 Pathfinder-class Force Reconnaissance Vessel,4,4,2,"135,000",7,3x,Yes
MandalMotors M22-T Krayt Gunship,4,4,2,"185,000",6,3x (twins & others),Yes
PB-950 Patrol Boat,5,3,3,"150,000",5,4x (quad & others),Yes
PPB Pocket Patrol Boat,3,4,2,"70,000",5,1x,Yes
Regulator-class Patrol Vessel,4,4,2,"110,000",6,2x (twin & quad),Yes
SS-54 Light Assault Gunship,3,3,2,"110,000",6,2x (twin & quad),Yes
VT-49 Decimator,4,3,1,"160,000",6,3x (quads & twin),Yes
YQ-400 Monitor-Class System Patrol Ship,4,3,0,"200,000",8,2x Twins,Yes
