Modification,Price,Rarity,HP Req.,Features
Athiss Cave Crystal,"7,000",8,2,
Barab Ingot,"15,000",8,2,Especially hot lightsaber blade
Christophsis Crystal,"11,000",8,2,Enhances kinetic energy
Corrupted Crystal,Must be found,9,2,Empowers dark side use
Cracked Crystal,Must be found,10,2,Remnant of Death Star's kyber cluster
Cracked Jedha Crystal,"8,000",7,3,Potent but unstable blade
Dantari Crystal,"12,000",9,2,Using the force is more calming
Dragite Gem,"14,000",7,2,Particularly disorienting blade
Etaan Crystal,"12,000",9,1,Especially good at reflection
Ghostfire Crystal,"14,000",9,1,Silent and dim blade
Ilum Crystal,"9,000",10,2,Well rounded crystal
Kimber Stone,"6,500",8,2,Produces non-lethal blade
Krayt Dragon Pearl,"15,000",10,2,Especially vicious blade
Lorrdian Gemstone,"9,600",8,2,Empowers one's defense
Mephite Crystal,"10,000",10,2,Imbued with the force
Nishalorite Stone,"12,500",8,2,Aids in navigating terrain
Sapith Gem,"18,000",10,2,Particularly strong at cutting
Seeker Crystal,"16,000",9,2,Improves perception of user
Solari Crystal,"16,000",9,3,Empowers light-side users
Sorian Crystal,"16,000",9,4,Bright blade when in contact with something
Tainted Nightsister Crystal,"13,000",10,2,Blade emits choking green smoke
Thontiin Crystal,"9,000",9,2,Reduces user's pain
Training Lightsaber Emitter,100,6,2,Produces a low power stun-blade
Unstable Kyber Crystal,"16,000",10,2,May be drawn upon for its force connection
Varpeline Crystal,"14,000",9,2,Exceptionally 'sharp' blade
Zophis Crystal,"11,000",10,2,Particularly capable of cutting through durasteel
