Modification,Price,Rarity,HP Req.,Other Req.,Features
Augmented Vibro-motor,500,4,2,Vibro-weapon,Increases damage
Balanced Hilt,"1,500",5,2,-,Increases accuracy
Cortosis Forging,"8,000",8,1,-,Weaves in cortosis
Energy Overclock Setting,500,5,3,Powered weapon,Increases viciousness
Mono-Molecular Edge,"1,000",5,1,Cutting Edge,Improves critical rating
Poison Reservoir,400 (Restricted),6,1,-,Stores a dose of poison or drug
Serrated Edge,50,1,1,Cutting Edge,Increases viciousness
Shield Discharge Pack,800,5,1,Shields or Bucklers,Gives a knockback to attackers
Shock Pulse Emitter,"1,500",5,2,-,Adds stunning damage
Stun Pulse,250,4,1,Bludgeoning,Adds stunning damage
Weighted Head,250,3,2,Bludgeoning,Increases damage
