Name,Skill,Dam,Crit,Range,Encum,HP,(R),Price,Rarity,Special
AA8 8-Gauge Scatter Gun,Ranged (Heavy),7,6,Short,3,2,,550,4,"Blast 3, Knockdown"
Arquebus,Ranged (Heavy),9,5,Long,3,4,,"1,200",5,"Cumbersome 3, Prepare 1"
"ASP-9 ""Vrelt"" Autopistol",Ranged (Light),4,5,Short,1,0,,150,4,Auto-fire
Berserker Rifle,Ranged (Heavy),7,4,Medium,4,0,(R),600,5,"Burn 1, Cumbersome 3, Disorient 1"
KS-23 Hammer,Ranged (Heavy),8,4,Short,5,4,,"1,500",5,"Blast 6, Knockdown"
"Model 57 ""Homesteader"" Hunting Rifle (standard rounds)",Ranged (Heavy),7,5,Long,5,4,,500,6,"Accurate 1, Cumbersome 2"
"Model 57 ""Homesteader"" Hunting Rifle (detonator rounds)",Ranged (Heavy),7,5,Long,5,4,,500,6,"Accurate 1, Blast 4,Cumbersome 2, Knockdown"
DF-D1 Duo-Flechette Rifle,Ranged (Heavy),9,3,Short,3,3,(R),"1,000",5,"Blast 4, Limited Ammo 5, Linked 1, Vicious 2"
FC1 Flechette Launcher (anti-infantry),Gunnery,8,3,Medium,6,4,(R),"2,500",6,"Blast 8, Cumbersome 3, Limited Ammo 4, Pierce 6, Prepare 1, Vicious 1"
FC1 Flechette Launcher (anti-vehicle),Gunnery,10,2,Medium,6,4,(R),"2,500",6,"Breach 2, Cumbersome 3, Limited Ammo 4, Prepare 1, Vicious 3"
Model 77 Air Rifle,Ranged (Heavy),6,NA,Long,3,3,,"1,100",6,"Pierce 4, Stun Damage"
FWG-5 Flechette Pistol,Ranged (Light),6,3,Short,1,2,(R),825,7,"Guided 3, Limited Ammo 3"
FWG-7 Flechette Smart Carbine,Ranged (Heavy),5,3,Medium,5,3,,"1,800",7,"Blast 4, Guided 2, Pierce 3"
Fyr Assault Carbine,Ranged (Heavy),6,5,Short,4,1,,250,4,"Auto-fire, Inaccurate 1"
"KD-30 ""Dissuader"" Pistol",Ranged (Light),4,5,Short,2,0,,350,6,"Pierce 2, Vicious 1"
"Mark V ""Sand Panther"" Hunting Rifle",Ranged (Heavy),7,5,Long,5,2,,"1,750",7,"Accurate 1, Cumbersome 2"
"Model C ""Fiver"" Self-Defense Pistol",Ranged (Light),5,4,Short,2,1,,200,4,"Accurate 1, Limited Ammo 5"
"Model 134a ""Buzzsaw"" Rotary Cannon",Gunnery,12,3,Long,8,4,(R),"4,500",7,"Auto-fire, Cumbersome 6, Pierce 3"
Model 38 Sharpshooter's Rifle (standard penetrator ammunition),Ranged (Heavy),8,3,Extreme,5,4,,"3,000",6,"Accurate 2, Pierce 3"
Model 38 Sharpshooter's Rifle (detonator round),Ranged (Heavy),8,3,Extreme,5,4,,"3,000",6,"Accurate 2, Blast 5, Knockdown"
"Model 4 ""Thunderhead"" Scatter Gun",Ranged (Heavy),7,4,Short,4,3,,700,5,"Blast 5, Knockdown, Vicious 1"
Panic Pistol,Ranged (Light),6,5,Short,1,0,,400,3,Inaccurate 1
SH-9 Slugthrower Pistol,Ranged (Light),4,5,Short,1,0,,250,4,"Limited Ammo 5, Pierce 2"
Shard Shooter,Ranged (Light),5,3,Medium,4,2,,"1,500",7,"Auto-fire, Pierce 1"
Slugthrower Pistol,Ranged (Light),4,5,Short,1,0,,100,3,
Slugthrower Rifle,Ranged (Heavy),7,5,Medium,5,1,,250,3,Cumbersome 2
Underslung Scattergun (GaG),Ranged (Heavy),6,5,Short,-,-,,750,5,"Blast 5, Knockdown, Limited Ammo 1"
Underslung Scattergun (FC),Ranged (Heavy),6,5,Short,-,-,(R),750,5,"Blast 5, Knockdown, Limited Ammo 1"
Verpine Heavy Shatter Rifle,Gunnery,15,2,Extreme,4,4,,"45,000",8,"Accurate 2, Knockdown, Pierce 6"
Verpine Shatter Pistol,Ranged (Light),8,3,Medium,1,2,,"15,000",8,"Knockdown, Pierce 2"
Verpine Shatter Rifle,Ranged (Heavy),12,3,Extreme,3,3,,"30,000",8,"Knockdown, Pierce 4"
Vodran Hunting Rifle,Ranged (Heavy),7,4,Long,4,2,,800,7,Cumbersome 2
