Model,Crew Complement,Price,Rarity,No of Weapon Batteries,Special Features
Adz-Class Destroyer,30,"4,450,000",7,7x,Starfighters & Extreme Range Sensors
Braha'Tok-Class Gunship,70,"1,400,000",6,16x,Starfighters
C-ROC Gozanti-class Light Cruiser,12,"190,000",8,6x,-
Consular-Class Light Assault Cruiser,9,"3,400,000",5,5x,Detachable Pod & Heavy Ion Cannon
Consular-Class Light Cruiser,9,"3,000,000",5,-,Detachable Pod
Consular-Class Light Cruiser (Charger Refit),9,"3,000,000",5,7x,Extreme Range Sensors
CR90 Corvette,30-165,"1,200,000",5,6x,Medium Turbolaser Batteries
CR92a Assassin-class Corvette,60-150,"2,500,000",6,9x,Medium Turbolaser Batteries
Cybershop Ship,135,"1,300,000",7,2x,Medium Turbolaser Batteries
DP20 Gunship,91,"3,200,000",6,16x,-
Gozanti-Class Armed Transport,12,"200,000",6,7x,-
Hammerhead-class Corvette,35,"1,000,000",8,2x,Ramming Design
Imperial System Patrol Craft,12,"4,000,000",5,5x,-
IR-3F-Class Light Frigate,20,"1,000,000",6,4x,Speed
"Jedi Training Cruiser ""Crucible""",2,"2,000,000",10,-,Jedi Workshops & Databanks
Lancer-Class Frigate,800,"4,760,000",7,20x,-
Marauder-class Assault Corvette,177,"3,000,000",5,8x,Starfighters
Minstrel-class Space Yacht,37,"1,750,000",7,6x,-
Raider-Class Corvette,85,"3,000,000",5,9x,"Install Hangar for 25k & 2 HP, & Battleship Ion Cannon"
Vigil-Class Corvette,200,"3,500,000",5,6x,-
