Model,Crew Complement,Price,Rarity,No of Weapon Batteries,Special Features,Category
Adz-Class Destroyer,30,"4,450,000",7,7x,Starfighters & Extreme Range Sensors,Corvettes (Silhouette 5)
Braha'Tok-Class Gunship,70,"1,400,000",6,16x,Starfighters,Corvettes (Silhouette 5)
C-ROC Gozanti-class Light Cruiser,12,"190,000",8,6x,-,Corvettes (Silhouette 5)
Consular-Class Light Assault Cruiser,9,"3,400,000",5,5x,Detachable Pod & Heavy Ion Cannon,Corvettes (Silhouette 5)
Consular-Class Light Cruiser,9,"3,000,000",5,-,Detachable Pod,Corvettes (Silhouette 5)
Consular-Class Light Cruiser (Charger Refit),9,"3,000,000",5,7x,Extreme Range Sensors,Corvettes (Silhouette 5)
CR90 Corvette,30-165,"1,200,000",5,6x,Medium Turbolaser Batteries,Corvettes (Silhouette 5)
CR92a Assassin-class Corvette,60-150,"2,500,000",6,9x,Medium Turbolaser Batteries,Corvettes (Silhouette 5)
Cybershop Ship,135,"1,300,000",7,2x,Medium Turbolaser Batteries,Corvettes (Silhouette 5)
DP20 Gunship,91,"3,200,000",6,16x,-,Corvettes (Silhouette 5)
Gozanti-Class Armed Transport,12,"200,000",6,7x,-,Corvettes (Silhouette 5)
Hammerhead-class Corvette,35,"1,000,000",8,2x,Ramming Design,Corvettes (Silhouette 5)
Imperial System Patrol Craft,12,"4,000,000",5,5x,-,Corvettes (Silhouette 5)
IR-3F-Class Light Frigate,20,"1,000,000",6,4x,Speed,Corvettes (Silhouette 5)
"Jedi Training Cruiser ""Crucible""",2,"2,000,000",10,-,Jedi Workshops & Databanks,Corvettes (Silhouette 5)
Lancer-Class Frigate,800,"4,760,000",7,20x,-,Corvettes (Silhouette 5)
Marauder-class Assault Corvette,177,"3,000,000",5,8x,Starfighters,Corvettes (Silhouette 5)
Minstrel-class Space Yacht,37,"1,750,000",7,6x,-,Corvettes (Silhouette 5)
Raider-Class Corvette,85,"3,000,000",5,9x,"Install Hangar for 25k & 2 HP, & Battleship Ion Cannon",Corvettes (Silhouette 5)
Vigil-Class Corvette,200,"3,500,000",5,6x,-,Corvettes (Silhouette 5)
Golan I Space Defense Platform,"5,000","26,000,000",9,33x,Starfighters & No Hyperdrive,Destroyers (Silhouette 8)
Imperial I-Class Star Destroyer,"37,084","150,000,000",7,120x,Starfighters,Destroyers (Silhouette 8)
Imperial II-Class Star Destroyer,"37,085","150,000,000",7,128x,Starfighters,Destroyers (Silhouette 8)
